Variation Label,Parent Product,Variation SKU,SKU Status,Linked Attributes,Regular Price,Tiered Pricing,Stock,Is Active?,Published
FWB-MOD003-0059,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0059,,"""Width — 8"""""",""Height — 10"""""",""Length — 20' (240"""")"",Sides — 3-sided",$1677.00,,10,checked,
FWB-MOD003-0060,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0060,,"""Width — 8"""""",""Height — 10"""""",""Length — 20' (240"""")"",Sides — 4-sided",$2157.00,,10,checked,
FWB-MOD003-0061,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0061,,"""Width — 10"""""",""Height — 10"""""",""Length — 8' (96"""")"",Sides — 3-sided",$719.00,,10,checked,
FWB-MOD003-0062,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0062,,"""Width — 10"""""",""Height — 10"""""",""Length — 8' (96"""")"",Sides — 4-sided",$959.00,,10,checked,
FWB-MOD003-0063,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0063,,"""Width — 10"""""",""Height — 10"""""",""Length — 10' (120"""")"",Sides — 3-sided",$899.00,,10,checked,
FWB-MOD003-0064,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0064,,"""Width — 10"""""",""Height — 10"""""",""Length — 10' (120"""")"",Sides — 4-sided",$1198.00,,10,checked,
FWB-MOD003-0065,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0065,,"""Width — 10"""""",""Height — 10"""""",""Length — 12' (144"""")"",Sides — 3-sided",$1079.00,,10,checked,
FWB-MOD003-0066,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0066,,"""Width — 10"""""",""Height — 10"""""",""Length — 12' (144"""")"",Sides — 4-sided",$1438.00,,10,checked,
FWB-MOD003-0067,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0067,,"""Width — 10"""""",""Height — 10"""""",""Length — 16' (192"""")"",Sides — 3-sided",$1438.00,,10,checked,
FWB-MOD003-0068,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0068,,"""Width — 10"""""",""Height — 10"""""",""Length — 16' (192"""")"",Sides — 4-sided",$1917.00,,10,checked,
FWB-MOD003-0069,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0069,,"""Width — 10"""""",""Height — 10"""""",""Length — 20' (240"""")"",Sides — 3-sided",$1797.00,,10,checked,
FWB-MOD003-0070,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0070,,"""Width — 10"""""",""Height — 10"""""",""Length — 20' (240"""")"",Sides — 4-sided",$2395.00,,10,checked,
FWB-MOD003-0071,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0071,,"""Width — 12"""""",""Height — 12"""""",""Length — 8' (96"""")"",Sides — 3-sided",$863.00,,10,checked,
FWB-MOD003-0072,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0072,,"""Width — 12"""""",""Height — 12"""""",""Length — 8' (96"""")"",Sides — 4-sided",$1150.00,,10,checked,
FWB-MOD003-0073,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0073,,"""Width — 12"""""",""Height — 12"""""",""Length — 10' (120"""")"",Sides — 3-sided",$1079.00,,10,checked,
FWB-MOD003-0074,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0074,,"""Width — 12"""""",""Height — 12"""""",""Length — 10' (120"""")"",Sides — 4-sided",$1438.00,,10,checked,
FWB-MOD003-0075,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0075,,"""Width — 12"""""",""Height — 12"""""",""Length — 12' (144"""")"",Sides — 3-sided",$1294.00,,10,checked,
FWB-MOD003-0076,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0076,,"""Width — 12"""""",""Height — 12"""""",""Length — 12' (144"""")"",Sides — 4-sided",$1725.00,,10,checked,
FWB-MOD003-0077,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0077,,"""Width — 12"""""",""Height — 12"""""",""Length — 16' (192"""")"",Sides — 3-sided",$1725.00,,10,checked,
FWB-MOD003-0078,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0078,,"""Width — 12"""""",""Height — 12"""""",""Length — 16' (192"""")"",Sides — 4-sided",$2299.00,,10,checked,
FWB-MOD003-0079,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0079,,"""Width — 12"""""",""Height — 12"""""",""Length — 20' (240"""")"",Sides — 3-sided",$2157.00,,10,checked,
FWB-MOD003-0080,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0080,,"""Width — 12"""""",""Height — 12"""""",""Length — 20' (240"""")"",Sides — 4-sided",$2874.00,,10,checked,
FWB-MOD003-0081,Faux Wood Beam MOD003 — FWB-MOD003,FWB-MOD003-0081,,"Width — Any Custom Size,Height — Any Custom Size,Length — Any Custom Size,Sides — Any Custom Size",,,10,checked,
CFWP-MOD001-0001,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0001,,"""Width — 6"""""",""Height — 1"""""",""Length — 8' (96"""")""",$144.00,,10,checked,
CFWP-MOD001-0002,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0002,,"""Width — 6"""""",""Height — 1"""""",""Length — 10' (120"""")""",$180.00,,10,checked,
CFWP-MOD001-0003,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0003,,"""Width — 6"""""",""Height — 1"""""",""Length — 12' (144"""")""",$217.00,,10,checked,
CFWP-MOD001-0004,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0004,,"""Width — 6"""""",""Height — 1"""""",""Length — 16' (192"""")""",$288.00,,10,checked,
CFWP-MOD001-0005,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0005,,"""Width — 8"""""",""Height — 1"""""",""Length — 8' (96"""")""",$193.00,,10,checked,
CFWP-MOD001-0006-1,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0006-1,OK,"""Width — 8"""""",""Height — 1"""""",""Length — 10' (120"""")""",$240.00,,10,checked,
CFWP-MOD001-0007,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0007,,"""Width — 8"""""",""Height — 1"""""",""Length — 12' (144"""")""",$288.00,,10,checked,
CFWP-MOD001-0008,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0008,,"""Width — 8"""""",""Height — 1"""""",""Length — 16' (192"""")""",$384.00,,10,checked,
CFWP-MOD001-0009,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0009,,"""Width — 10"""""",""Height — 1"""""",""Length — 8' (96"""")""",$240.00,,10,checked,
CFWP-MOD001-0010,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0010,,"""Width — 10"""""",""Height — 1"""""",""Length — 10' (120"""")""",$300.00,,10,checked,
CFWP-MOD001-0011,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0011,,"""Width — 10"""""",""Height — 1"""""",""Length — 12' (144"""")""",$360.00,,10,checked,
CFWP-MOD001-0012,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0012,,"""Width — 10"""""",""Height — 1"""""",""Length — 16' (192"""")""",$480.00,,10,checked,
CFWP-MOD001-0013,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0013,,"""Width — 12"""""",""Height — 1"""""",""Length — 8' (96"""")""",$288.00,,10,checked,
CFWP-MOD001-0014,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0014,,"""Width — 12"""""",""Height — 1"""""",""Length — 10' (120"""")""",$360.00,,10,checked,
CFWP-MOD001-0015-1,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0015-1,OK,"""Width — 12"""""",""Height — 1"""""",""Length — 12' (144"""")""",$432.00,,10,checked,
CFWP-MOD001-0016,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0016,OK,"""Width — 12"""""",""Height — 1"""""",""Length — 16' (192"""")""",$575.00,,10,checked,
CFWP-MOD001-0017,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0017,,"""Width — 16"""""",""Height — 1"""""",""Length — 8' (96"""")""",$384.00,,10,checked,
CFWP-MOD001-0018,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0018,,"""Width — 16"""""",""Height — 1"""""",""Length — 10' (120"""")""",$480.00,,10,checked,
CFWP-MOD001-0019,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0019,,"""Width — 16"""""",""Height — 1"""""",""Length — 12' (144"""")""",$575.00,,10,checked,
CFWP-MOD001-0020,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0020,,"""Width — 16"""""",""Height — 1"""""",""Length — 16' (192"""")""",$767.00,,10,checked,
CFWP-MOD001-0021,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0021,,"""Width — 20"""""",""Height — 1"""""",""Length — 8' (96"""")""",$480.00,,10,checked,
CFWP-MOD001-0022,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0022,,"""Width — 20"""""",""Height — 1"""""",""Length — 10' (120"""")""",$599.00,,10,checked,
CFWP-MOD001-0023,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0023,,"""Width — 20"""""",""Height — 1"""""",""Length — 12' (144"""")""",$719.00,,10,checked,
CFWP-MOD001-0024,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0024,,"""Width — 20"""""",""Height — 1"""""",""Length — 16' (192"""")""",$959.00,,10,checked,
CFWP-MOD001-0025,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0025,,"""Width — 24"""""",""Height — 1"""""",""Length — 8' (96"""")""",$575.00,,10,checked,
CFWP-MOD001-0026,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0026,,"""Width — 24"""""",""Height — 1"""""",""Length — 10' (120"""")""",$719.00,,10,checked,
CFWP-MOD001-0027,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0027,,"""Width — 24"""""",""Height — 1"""""",""Length — 12' (144"""")""",$863.00,,10,checked,
CFWP-MOD001-0028,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0028,,"""Width — 24"""""",""Height — 1"""""",""Length — 16' (192"""")""",$1150.00,,10,checked,
CFWP-MOD001-0029,Ceiling Faux Wood Plank MOD001 — CFWP-MOD001,CFWP-MOD001-0029,,"Width — Any Custom Size,""Height — 1"""""",Length — Any Custom Size",,,10,checked,
CFWP-MOD003-0001,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0001,,"""Width — 6"""""",""Height — 1"""""",""Length — 8' (96"""")""",$144.00,,10,checked,
CFWP-MOD003-0002,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0002,,"""Width — 6"""""",""Height — 1"""""",""Length — 10' (120"""")""",$180.00,,10,checked,
CFWP-MOD003-0003,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0003,,"""Width — 6"""""",""Height — 1"""""",""Length — 12' (144"""")""",$217.00,,10,checked,
CFWP-MOD003-0004,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0004,,"""Width — 6"""""",""Height — 1"""""",""Length — 16' (192"""")""",$288.00,,10,checked,
CFWP-MOD003-0005,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0005,,"""Width — 8"""""",""Height — 1"""""",""Length — 8' (96"""")""",$193.00,,10,checked,
CFWP-MOD003-0006,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0006,,"""Width — 8"""""",""Height — 1"""""",""Length — 10' (120"""")""",$240.00,,10,checked,
CFWP-MOD003-0007,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0007,,"""Width — 8"""""",""Height — 1"""""",""Length — 12' (144"""")""",$288.00,,10,checked,
CFWP-MOD003-0008,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0008,,"""Width — 8"""""",""Height — 1"""""",""Length — 16' (192"""")""",$384.00,,10,checked,
CFWP-MOD003-0009,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0009,,"""Width — 10"""""",""Height — 1"""""",""Length — 8' (96"""")""",$240.00,,10,checked,
CFWP-MOD003-0010,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0010,,"""Width — 10"""""",""Height — 1"""""",""Length — 10' (120"""")""",$300.00,,10,checked,
CFWP-MOD003-0011,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0011,,"""Width — 10"""""",""Height — 1"""""",""Length — 12' (144"""")""",$360.00,,10,checked,
CFWP-MOD003-0012,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0012,,"""Width — 10"""""",""Height — 1"""""",""Length — 16' (192"""")""",$480.00,,10,checked,
CFWP-MOD003-0013,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0013,,"""Width — 12"""""",""Height — 1"""""",""Length — 8' (96"""")""",$288.00,,10,checked,
CFWP-MOD003-0014,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0014,,"""Width — 12"""""",""Height — 1"""""",""Length — 10' (120"""")""",$360.00,,10,checked,
CFWP-MOD003-0015,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0015,,"""Width — 12"""""",""Height — 1"""""",""Length — 12' (144"""")""",$432.00,,10,checked,
CFWP-MOD003-0016,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0016,,"""Width — 12"""""",""Height — 1"""""",""Length — 16' (192"""")""",$575.00,,10,checked,
CFWP-MOD003-0017,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0017,,"""Width — 16"""""",""Height — 1"""""",""Length — 8' (96"""")""",$384.00,,10,checked,
CFWP-MOD003-0018,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0018,,"""Width — 16"""""",""Height — 1"""""",""Length — 10' (120"""")""",$480.00,,10,checked,
CFWP-MOD003-0019,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0019,,"""Width — 16"""""",""Height — 1"""""",""Length — 12' (144"""")""",$575.00,,10,checked,
CFWP-MOD003-0020,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0020,,"""Width — 16"""""",""Height — 1"""""",""Length — 16' (192"""")""",$767.00,,10,checked,
CFWP-MOD003-0021,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0021,,"""Width — 20"""""",""Height — 1"""""",""Length — 8' (96"""")""",$480.00,,10,checked,
CFWP-MOD003-0022,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0022,,"""Width — 20"""""",""Height — 1"""""",""Length — 10' (120"""")""",$599.00,,10,checked,
CFWP-MOD003-0023,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0023,,"""Width — 20"""""",""Height — 1"""""",""Length — 12' (144"""")""",$719.00,,10,checked,
CFWP-MOD003-0024,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0024,,"""Width — 20"""""",""Height — 1"""""",""Length — 16' (192"""")""",$959.00,,10,checked,
CFWP-MOD003-0025,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0025,,"""Width — 24"""""",""Height — 1"""""",""Length — 8' (96"""")""",$575.00,,10,checked,
CFWP-MOD003-0026,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0026,,"""Width — 24"""""",""Height — 1"""""",""Length — 10' (120"""")""",$719.00,,10,checked,
CFWP-MOD003-0027,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0027,,"""Width — 24"""""",""Height — 1"""""",""Length — 12' (144"""")""",$863.00,,10,checked,
CFWP-MOD003-0028,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0028,,"""Width — 24"""""",""Height — 1"""""",""Length — 16' (192"""")""",$1150.00,,10,checked,
CFWP-MOD003-0029,Ceiling Faux Wood Plank MOD003 — CFWP-MOD003,CFWP-MOD003-0029,,"Width — Any Custom Size,""Height — 1"""""",Length — Any Custom Size",,,10,checked,
CFWP-MOD004-0001,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0001,,"""Width — 6"""""",""Height — 1"""""",""Length — 8' (96"""")""",$144.00,,10,checked,
CFWP-MOD004-0002,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0002,,"""Width — 6"""""",""Height — 1"""""",""Length — 10' (120"""")""",$180.00,,10,checked,
CFWP-MOD004-0003,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0003,,"""Width — 6"""""",""Height — 1"""""",""Length — 12' (144"""")""",$217.00,,10,checked,
CFWP-MOD004-0004,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0004,,"""Width — 6"""""",""Height — 1"""""",""Length — 16' (192"""")""",$288.00,,10,checked,
CFWP-MOD004-0005,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0005,,"""Width — 8"""""",""Height — 1"""""",""Length — 8' (96"""")""",$193.00,,10,checked,
CFWP-MOD004-0006,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0006,,"""Width — 8"""""",""Height — 1"""""",""Length — 10' (120"""")""",$240.00,,10,checked,
CFWP-MOD004-0007,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0007,,"""Width — 8"""""",""Height — 1"""""",""Length — 12' (144"""")""",$288.00,,10,checked,
CFWP-MOD004-0008,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0008,,"""Width — 8"""""",""Height — 1"""""",""Length — 16' (192"""")""",$384.00,,10,checked,
CFWP-MOD004-0009,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0009,,"""Width — 10"""""",""Height — 1"""""",""Length — 8' (96"""")""",$240.00,,10,checked,
CFWP-MOD004-0010,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0010,,"""Width — 10"""""",""Height — 1"""""",""Length — 10' (120"""")""",$300.00,,10,checked,
CFWP-MOD004-0011,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0011,,"""Width — 10"""""",""Height — 1"""""",""Length — 12' (144"""")""",$360.00,,10,checked,
CFWP-MOD004-0012,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0012,,"""Width — 10"""""",""Height — 1"""""",""Length — 16' (192"""")""",$480.00,,10,checked,
CFWP-MOD004-0013,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0013,,"""Width — 12"""""",""Height — 1"""""",""Length — 8' (96"""")""",$288.00,,10,checked,
CFWP-MOD004-0014,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0014,,"""Width — 12"""""",""Height — 1"""""",""Length — 10' (120"""")""",$360.00,,10,checked,
CFWP-MOD004-0015,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0015,,"""Width — 12"""""",""Height — 1"""""",""Length — 12' (144"""")""",$432.00,,10,checked,
CFWP-MOD004-0016,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0016,,"""Width — 12"""""",""Height — 1"""""",""Length — 16' (192"""")""",$575.00,,10,checked,
CFWP-MOD004-0017,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0017,,"""Width — 16"""""",""Height — 1"""""",""Length — 8' (96"""")""",$384.00,,10,checked,
CFWP-MOD004-0018,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0018,,"""Width — 16"""""",""Height — 1"""""",""Length — 10' (120"""")""",$480.00,,10,checked,
CFWP-MOD004-0019,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0019,,"""Width — 16"""""",""Height — 1"""""",""Length — 12' (144"""")""",$575.00,,10,checked,
CFWP-MOD004-0020,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0020,,"""Width — 16"""""",""Height — 1"""""",""Length — 16' (192"""")""",$767.00,,10,checked,
CFWP-MOD004-0021,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0021,,"""Width — 20"""""",""Height — 1"""""",""Length — 8' (96"""")""",$480.00,,10,checked,
CFWP-MOD004-0022,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0022,,"""Width — 20"""""",""Height — 1"""""",""Length — 10' (120"""")""",$599.00,,10,checked,
CFWP-MOD004-0023,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0023,,"""Width — 20"""""",""Height — 1"""""",""Length — 12' (144"""")""",$719.00,,10,checked,
CFWP-MOD004-0024,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0024,,"""Width — 20"""""",""Height — 1"""""",""Length — 16' (192"""")""",$959.00,,10,checked,
CFWP-MOD004-0025,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0025,,"""Width — 24"""""",""Height — 1"""""",""Length — 8' (96"""")""",$575.00,,10,checked,
CFWP-MOD004-0026,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0026,,"""Width — 24"""""",""Height — 1"""""",""Length — 10' (120"""")""",$719.00,,10,checked,
CFWP-MOD004-0027,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0027,,"""Width — 24"""""",""Height — 1"""""",""Length — 12' (144"""")""",$863.00,,10,checked,
CFWP-MOD004-0028,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0028,,"""Width — 24"""""",""Height — 1"""""",""Length — 16' (192"""")""",$1150.00,,10,checked,
CFWP-MOD004-0029,Ceiling Faux Wood Plank MOD004 — CFWP-MOD004,CFWP-MOD004-0029,,"Width — Any Custom Size,""Height — 1"""""",Length — Any Custom Size",,,10,checked,
CFWP-MOD005-0001,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0001,,"""Width — 6"""""",""Height — 1"""""",""Length — 8' (96"""")""",$144.00,,10,checked,
CFWP-MOD005-0002,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0002,,"""Width — 6"""""",""Height — 1"""""",""Length — 10' (120"""")""",$180.00,,10,checked,
CFWP-MOD005-0003,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0003,,"""Width — 6"""""",""Height — 1"""""",""Length — 12' (144"""")""",$217.00,,10,checked,
CFWP-MOD005-0004,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0004,,"""Width — 6"""""",""Height — 1"""""",""Length — 16' (192"""")""",$288.00,,10,checked,
CFWP-MOD005-0005,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0005,,"""Width — 8"""""",""Height — 1"""""",""Length — 8' (96"""")""",$193.00,,10,checked,
CFWP-MOD005-0006,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0006,,"""Width — 8"""""",""Height — 1"""""",""Length — 10' (120"""")""",$240.00,,10,checked,
CFWP-MOD005-0007,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0007,,"""Width — 8"""""",""Height — 1"""""",""Length — 12' (144"""")""",$288.00,,10,checked,
CFWP-MOD005-0008,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0008,,"""Width — 8"""""",""Height — 1"""""",""Length — 16' (192"""")""",$384.00,,10,checked,
CFWP-MOD005-0009,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0009,,"""Width — 10"""""",""Height — 1"""""",""Length — 8' (96"""")""",$240.00,,10,checked,
CFWP-MOD005-0010,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0010,,"""Width — 10"""""",""Height — 1"""""",""Length — 10' (120"""")""",$300.00,,10,checked,
CFWP-MOD005-0011,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0011,,"""Width — 10"""""",""Height — 1"""""",""Length — 12' (144"""")""",$360.00,,10,checked,
CFWP-MOD005-0012,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0012,,"""Width — 10"""""",""Height — 1"""""",""Length — 16' (192"""")""",$480.00,,10,checked,
CFWP-MOD005-0013,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0013,,"""Width — 12"""""",""Height — 1"""""",""Length — 8' (96"""")""",$288.00,,10,checked,
CFWP-MOD005-0014,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0014,,"""Width — 12"""""",""Height — 1"""""",""Length — 10' (120"""")""",$360.00,,10,checked,
CFWP-MOD005-0015,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0015,,"""Width — 12"""""",""Height — 1"""""",""Length — 12' (144"""")""",$432.00,,10,checked,
CFWP-MOD005-0016,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0016,,"""Width — 12"""""",""Height — 1"""""",""Length — 16' (192"""")""",$575.00,,10,checked,
CFWP-MOD005-0017,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0017,,"""Width — 16"""""",""Height — 1"""""",""Length — 8' (96"""")""",$384.00,,10,checked,
CFWP-MOD005-0018,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0018,,"""Width — 16"""""",""Height — 1"""""",""Length — 10' (120"""")""",$480.00,,10,checked,
CFWP-MOD005-0019,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0019,,"""Width — 16"""""",""Height — 1"""""",""Length — 12' (144"""")""",$575.00,,10,checked,
CFWP-MOD005-0020,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0020,,"""Width — 16"""""",""Height — 1"""""",""Length — 16' (192"""")""",$767.00,,10,checked,
CFWP-MOD005-0021,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0021,,"""Width — 20"""""",""Height — 1"""""",""Length — 8' (96"""")""",$480.00,,10,checked,
CFWP-MOD005-0022,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0022,,"""Width — 20"""""",""Height — 1"""""",""Length — 10' (120"""")""",$599.00,,10,checked,
CFWP-MOD005-0023,Ceiling Faux Wood Plank MOD005 — CFWP-MOD005,CFWP-MOD005-0023,,"""Width — 20"""""",""Height — 1"""""",""Length — 12' (144"""")""",$719.00,,10,checked,
